campus,programme,close2025
Pilani,"B.E. Computer Science",304
Pilani,"B.E. Mathematics and Computing",295
Pilani,"B.E. Electronics & Communication",285
Pilani,"B.E. Electrical & Electronics",260
Pilani,"B.E. Electronics & Instrumentation",250
Pilani,"M.Sc. Economics",251
Pilani,"M.Sc. Semiconductors",239
Pilani,"B.E. Mechanical",235
Pilani,"M.Sc. Mathematics",229
Pilani,"M.Sc. Physics",223
Pilani,"M.Sc. Chemistry",212
Pilani,"B.E. Manufacturing",211
Pilani,"B.E. Chemical",210
Pilani,"M.Sc. Biological Sciences",208
Pilani,"B.E. Civil",206
Pilani,"B.E. Environmental and Sustainability",203
Pilani,"B. Pharm",168
Goa,"B.E. Computer Science",274
Goa,"B.E. Mathematics and Computing",268
Goa,"B.E. Electronics and Computer",262
Goa,"B.E. Electronics & Communication",255
Goa,"B.E. Electrical & Electronics",243
Goa,"M.Sc. Economics",237
Goa,"B.E. Electronics & Instrumentation",234
Goa,"M.Sc. Semiconductors",225
Goa,"B.E. Mechanical",223
Goa,"M.Sc. Mathematics",216
Goa,"M.Sc. Physics",212
Goa,"B.E. Chemical",206
Goa,"M.Sc. Chemistry",205
Goa,"M.Sc. Biological Sciences",203
Goa,"B.E. Environmental and Sustainability",189
Hyderabad,"B.E. Computer Science",270
Hyderabad,"B.E. Mathematics and Computing",266
Hyderabad,"B.E. Electronics & Communication",256
Hyderabad,"B.E. Electrical & Electronics",239
Hyderabad,"B.E. Electronics & Instrumentation",232
Hyderabad,"M.Sc. Economics",231
Hyderabad,"M.Sc. Semiconductors",225
Hyderabad,"B.E. Mechanical",214
Hyderabad,"M.Sc. Mathematics",212
Hyderabad,"M.Sc. Physics",209
Hyderabad,"B.E. Chemical",205
Hyderabad,"B.E. Civil",203
Hyderabad,"M.Sc. Biological Sciences",203
Hyderabad,"M.Sc. Chemistry",203
Hyderabad,"B.E. Environmental and Sustainability",181
Hyderabad,"B. Pharm",151
